SIMULATION RESULTS
____________________

Customer Number: 18, Arrival Time: 34.26155264, End Shopping Time: 97.408048176, End Wait Time: 100.808048176, End Checkout Time: 106.44804817599999
Customer Number: 46, Arrival Time: 75.51268959, End Shopping Time: 92.74852255799999, End Wait Time: 102.948522558, End Checkout Time: 108.34852255799998
Customer Number: 31, Arrival Time: 57.86678972, End Shopping Time: 97.49489095999999, End Wait Time: 104.89489096, End Checkout Time: 109.19489096
Customer Number: 50, Arrival Time: 79.73695626, End Shopping Time: 99.011100444, End Wait Time: 108.05110044399999, End Checkout Time: 112.17110044399999
Customer Number: 27, Arrival Time: 47.74866999, End Shopping Time: 102.59664037600001, End Wait Time: 110.696640376, End Checkout Time: 115.04664037600001
Customer Number: 57, Arrival Time: 91.07028743, End Shopping Time: 102.188978255, End Wait Time: 111.948978255, End Checkout Time: 115.34897825499999
Customer Number: 65, Arrival Time: 108.1697958, End Shopping Time: 115.203315237, End Wait Time: 115.203315237, End Checkout Time: 117.603315237
Customer Number: 58, Arrival Time: 91.30334712, End Shopping Time: 106.553159342, End Wait Time: 114.073159342, End Checkout Time: 118.113159342
Customer Number: 40, Arrival Time: 69.10523834, End Shopping Time: 101.50499934300001, End Wait Time: 113.20499934300001, End Checkout Time: 118.50499934300001
Customer Number: 56, Arrival Time: 89.0887003, End Shopping Time: 111.35047795, End Wait Time: 115.70047794999999, End Checkout Time: 119.25047795
Customer Number: 66, Arrival Time: 108.7835125, End Shopping Time: 119.074133372, End Wait Time: 119.074133372, End Checkout Time: 121.47413337200001
Customer Number: 43, Arrival Time: 71.13774185, End Shopping Time: 112.498821026, End Wait Time: 117.798821026, End Checkout Time: 124.39882102600001
Customer Number: 68, Arrival Time: 113.1497215, End Shopping Time: 122.18180941, End Wait Time: 122.18180941, End Checkout Time: 125.18180941
Customer Number: 55, Arrival Time: 87.02217421, End Shopping Time: 113.99059700800001, End Wait Time: 121.89059700800001, End Checkout Time: 125.290597008
Customer Number: 62, Arrival Time: 100.2342747, End Shopping Time: 115.794076178, End Wait Time: 122.744076178, End Checkout Time: 125.894076178
Customer Number: 60, Arrival Time: 99.44035362, End Shopping Time: 123.039084292, End Wait Time: 123.039084292, End Checkout Time: 126.99908429199999
Customer Number: 73, Arrival Time: 121.126168, End Shopping Time: 126.95221590400001, End Wait Time: 126.95221590400001, End Checkout Time: 129.152215904
Customer Number: 76, Arrival Time: 130.0209421, End Shopping Time: 131.433651886, End Wait Time: 131.433651886, End Checkout Time: 132.833651886
